resp_txt.keys,resp_txt.rt,resp.keys,resp.rt,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training.ran,line_file,offset,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_after_training.keys,key_resp_after_training.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,15.934,o,0.472,0,0,0,17,1,images/7.png,7,01,001,2020-12-02_10h01.53.252,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.518,0,1,1,13,1,images/3.png,3,01,001,2020-12-02_10h01.53.252,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.419,0,2,2,20,1,images/10.png,10,01,001,2020-12-02_10h01.53.252,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.885,0,3,3,10,1,images/0.png,0,01,001,2020-12-02_10h01.53.252,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.486,0,4,4,16,1,images/6.png,6,01,001,2020-12-02_10h01.53.252,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.869,0,5,5,6,1,images/-4.png,-4,01,001,2020-12-02_10h01.53.252,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.554,0,6,6,14,1,images/4.png,4,01,001,2020-12-02_10h01.53.252,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.491,0,7,7,15,1,images/5.png,5,01,001,2020-12-02_10h01.53.252,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.02,0,8,8,9,1,images/-1.png,-1,01,001,2020-12-02_10h01.53.252,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.536,0,9,9,2,1,images/-8.png,-8,01,001,2020-12-02_10h01.53.252,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.335,0,10,10,0,1,images/-10.png,-10,01,001,2020-12-02_10h01.53.252,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.55,0,11,11,3,1,images/-7.png,-7,01,001,2020-12-02_10h01.53.252,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.501,0,12,12,18,1,images/8.png,8,01,001,2020-12-02_10h01.53.252,lm,2020.2.8,Win32,60,,,,,,,
