resp_txt.keys,resp_txt.rt,resp.keys,resp.rt,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training.ran,line_file,offset,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_after_training.keys,key_resp_after_training.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,6.485545,e,1.749545,0,0,0,11,1,images/1.png,1,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.48582,0,1,1,14,1,images/4.png,4,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.735105,0,2,2,7,1,images/-3.png,-3,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.84716,0,3,3,13,1,images/3.png,3,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,,,,,
,,o,2.750865,0,4,4,15,1,images/5.png,5,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.813055,0,5,5,10,1,images/0.png,0,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.1204,0,6,6,2,1,images/-8.png,-8,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.23625,0,7,7,0,1,images/-10.png,-10,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.468375,0,8,8,1,1,images/-9.png,-9,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.40815,0,9,9,9,1,images/-1.png,-1,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.42953,0,10,10,17,1,images/7.png,7,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.883455,0,11,11,3,1,images/-7.png,-7,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.80214,0,12,12,16,1,images/6.png,6,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.102465,0,13,13,5,1,images/-5.png,-5,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.11657,0,14,14,12,1,images/2.png,2,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,,,,,
,,e,2.049865,0,15,15,6,1,images/-4.png,-4,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.357175,0,16,16,8,1,images/-2.png,-2,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.417115,0,17,17,20,1,images/10.png,10,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.41661,0,18,18,4,1,images/-6.png,-6,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.504925,0,19,19,19,1,images/9.png,9,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.746905,0,20,20,18,1,images/8.png,8,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.52221,,,,,,images/-10.png,-10,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,space,8.90424,0,0,0,0,1
,,o,1.903665,,,,,,images/-1.png,-1,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,0,1,1,9,1
,,o,0.352855,,,,,,images/5.png,5,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,0,2,2,15,1
,,e,0.538995,,,,,,images/-3.png,-3,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,0,3,3,7,1
,,o,0.73783,,,,,,images/4.png,4,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,0,4,4,14,1
,,e,0.27937,,,,,,images/-4.png,-4,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,0,5,5,6,1
,,o,0.32122,,,,,,images/8.png,8,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,0,6,6,18,1
,,e,0.339555,,,,,,images/-9.png,-9,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,0,7,7,1,1
,,o,0.520985,,,,,,images/6.png,6,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,0,8,8,16,1
,,o,0.773005,,,,,,images/1.png,1,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,0,9,9,11,1
,,e,0.443705,,,,,,images/-5.png,-5,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,0,10,10,5,1
,,e,0.452085,,,,,,images/-7.png,-7,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,0,11,11,3,1
,,e,0.62111,,,,,,images/-2.png,-2,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,0,12,12,8,1
,,o,0.4476,,,,,,images/0.png,0,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,0,13,13,10,1
,,o,0.47373,,,,,,images/3.png,3,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,0,14,14,13,1
,,o,0.520675,,,,,,images/2.png,2,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,0,15,15,12,1
,,o,0.434175,,,,,,images/9.png,9,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,0,16,16,19,1
,,o,0.52113,,,,,,images/10.png,10,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,0,17,17,20,1
,,o,0.635375,,,,,,images/7.png,7,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,0,18,18,17,1
,,e,0.401065,,,,,,images/-6.png,-6,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,0,19,19,4,1
,,e,0.70213,,,,,,images/-8.png,-8,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,0,20,20,2,1
,,e,0.91762,,,,,,images/1.png,1,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,1,0,21,11,1
,,e,0.592605,,,,,,images/-7.png,-7,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,1,1,22,3,1
,,o,0.42956,,,,,,images/5.png,5,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,1,2,23,15,1
,,o,0.53553,,,,,,images/9.png,9,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,1,3,24,19,1
,,e,0.339885,,,,,,images/-6.png,-6,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,1,4,25,4,1
,,o,0.6137,,,,,,images/10.png,10,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,1,5,26,20,1
,,o,0.444585,,,,,,images/8.png,8,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,1,6,27,18,1
,,e,0.461315,,,,,,images/-2.png,-2,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,1,7,28,8,1
,,e,0.880525,,,,,,images/-1.png,-1,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,1,8,29,9,1
,,o,0.674625,,,,,,images/3.png,3,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,1,9,30,13,1
,,o,1.26833,,,,,,images/4.png,4,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,1,10,31,14,1
,,e,0.471795,,,,,,images/-8.png,-8,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,1,11,32,2,1
,,o,0.448945,,,,,,images/6.png,6,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,1,12,33,16,1
,,e,0.582325,,,,,,images/2.png,2,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,1,13,34,12,1
,,o,0.532805,,,,,,images/7.png,7,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,1,14,35,17,1
,,o,1.43293,,,,,,images/0.png,0,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,1,15,36,10,1
,,e,0.53574,,,,,,images/-5.png,-5,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,1,16,37,5,1
,,e,0.45692,,,,,,images/-10.png,-10,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,1,17,38,0,1
,,e,1.024145,,,,,,images/-9.png,-9,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,1,18,39,1,1
,,e,1.364225,,,,,,images/-3.png,-3,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,1,19,40,7,1
,,e,1.398565,,,,,,images/-4.png,-4,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,1,20,41,6,1
,,e,0.763135,,,,,,images/-2.png,-2,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,2,0,42,8,1
,,e,0.80449,,,,,,images/-6.png,-6,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,2,1,43,4,1
,,e,1.026635,,,,,,images/0.png,0,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,2,2,44,10,1
,,e,0.55218,,,,,,images/-9.png,-9,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,2,3,45,1,1
,,e,1.67391,,,,,,images/-5.png,-5,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,2,4,46,5,1
,,o,0.93577,,,,,,images/10.png,10,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,2,5,47,20,1
,,e,0.59295,,,,,,images/-1.png,-1,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,2,6,48,9,1
,,o,1.116725,,,,,,images/4.png,4,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,2,7,49,14,1
,,o,0.58216,,,,,,images/5.png,5,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,2,8,50,15,1
,,e,0.984465,,,,,,images/1.png,1,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,2,9,51,11,1
,,e,0.68822,,,,,,images/-8.png,-8,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,2,10,52,2,1
,,o,0.402335,,,,,,images/9.png,9,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,2,11,53,19,1
,,e,0.6413,,,,,,images/-7.png,-7,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,2,12,54,3,1
,,o,1.46297,,,,,,images/3.png,3,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,2,13,55,13,1
,,o,1.01347,,,,,,images/-3.png,-3,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,2,14,56,7,1
,,o,0.693635,,,,,,images/7.png,7,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,2,15,57,17,1
,,e,1.110015,,,,,,images/-4.png,-4,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,2,16,58,6,1
,,o,0.766965,,,,,,images/8.png,8,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,2,17,59,18,1
,,e,0.34478,,,,,,images/-10.png,-10,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,2,18,60,0,1
,,o,0.54256,,,,,,images/2.png,2,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,2,19,61,12,1
,,o,1.858225,,,,,,images/6.png,6,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,2,20,62,16,1
,,o,0.37931,,,,,,images/10.png,10,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,3,0,63,20,1
,,e,0.74896,,,,,,images/-5.png,-5,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,3,1,64,5,1
,,o,0.557895,,,,,,images/6.png,6,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,3,2,65,16,1
,,o,1.961555,,,,,,images/5.png,5,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,3,3,66,15,1
,,o,2.33347,,,,,,images/1.png,1,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,3,4,67,11,1
,,e,0.35705,,,,,,images/-8.png,-8,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,3,5,68,2,1
,,o,1.44112,,,,,,images/2.png,2,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,3,6,69,12,1
,,e,1.88316,,,,,,images/-2.png,-2,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,3,7,70,8,1
,,e,1.763235,,,,,,images/-6.png,-6,zoé,001,2020-12-02_12h23.31.763,lm,2020.2.8,Win32,60,,,3,8,71,4,1
