resp_txt.keys,resp_txt.rt,resp.keys,resp.rt,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training.ran,line_file,offset,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_after_training.keys,key_resp_after_training.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,16.860235,e,12.08221,0,0,0,6,1,images/-4.png,-4,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.952105,0,1,1,18,1,images/8.png,8,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.755475,0,2,2,19,1,images/9.png,9,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.389415,0,3,3,5,1,images/-5.png,-5,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.349855,0,4,4,12,1,images/2.png,2,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.723645,0,5,5,15,1,images/5.png,5,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.909305,0,6,6,2,1,images/-8.png,-8,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.466395,0,7,7,17,1,images/7.png,7,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.421885,0,8,8,14,1,images/4.png,4,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.59982,0,9,9,9,1,images/-1.png,-1,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.388695,0,10,10,10,1,images/0.png,0,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.470795,0,11,11,0,1,images/-10.png,-10,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.369215,0,12,12,20,1,images/10.png,10,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.520895,0,13,13,7,1,images/-3.png,-3,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.8264,0,14,14,16,1,images/6.png,6,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.56093,0,15,15,11,1,images/1.png,1,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.837845,0,16,16,8,1,images/-2.png,-2,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.90638,0,17,17,4,1,images/-6.png,-6,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.68568,0,18,18,3,1,images/-7.png,-7,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.488245,0,19,19,13,1,images/3.png,3,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.93175,0,20,20,1,1,images/-9.png,-9,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.43575,,,,,,images/7.png,7,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,space,21.68535,0,0,0,17,1
,,o,0.73979,,,,,,images/0.png,0,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,0,1,1,10,1
,,o,0.45284,,,,,,images/10.png,10,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,0,2,2,20,1
,,e,0.90697,,,,,,images/-2.png,-2,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,0,3,3,8,1
,,e,0.835745,,,,,,images/-3.png,-3,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,0,4,4,7,1
,,e,0.37506,,,,,,images/-8.png,-8,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,0,5,5,2,1
,,o,0.43946,,,,,,images/6.png,6,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,0,6,6,16,1
,,o,0.36327,,,,,,images/1.png,1,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,0,7,7,11,1
,,e,0.35772,,,,,,images/-7.png,-7,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,0,8,8,3,1
,,o,0.26866,,,,,,images/5.png,5,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,0,9,9,15,1
,,e,0.285265,,,,,,images/-10.png,-10,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,0,10,10,0,1
,,o,0.27463,,,,,,images/4.png,4,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,0,11,11,14,1
,,o,0.27186,,,,,,images/9.png,9,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,0,12,12,19,1
,,e,0.325535,,,,,,images/-6.png,-6,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,0,13,13,4,1
,,o,0.405155,,,,,,images/3.png,3,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,0,14,14,13,1
,,e,0.672615,,,,,,images/-4.png,-4,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,0,15,15,6,1
,,o,0.725775,,,,,,images/-1.png,-1,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,0,16,16,9,1
,,o,0.335885,,,,,,images/8.png,8,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,0,17,17,18,1
,,e,0.43327,,,,,,images/-5.png,-5,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,0,18,18,5,1
,,o,1.05349,,,,,,images/2.png,2,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,0,19,19,12,1
,,e,0.410045,,,,,,images/-9.png,-9,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,0,20,20,1,1
,,o,0.394105,,,,,,images/2.png,2,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,1,0,21,12,1
,,e,0.509185,,,,,,images/-2.png,-2,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,1,1,22,8,1
,,e,0.78151,,,,,,images/-3.png,-3,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,1,2,23,7,1
,,o,1.76691,,,,,,images/0.png,0,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,1,3,24,10,1
,,e,0.738805,,,,,,images/-5.png,-5,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,1,4,25,5,1
,,e,0.56985,,,,,,images/-8.png,-8,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,1,5,26,2,1
,,e,0.97435,,,,,,images/-7.png,-7,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,1,6,27,3,1
,,o,0.41901,,,,,,images/6.png,6,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,1,7,28,16,1
,,o,0.42448,,,,,,images/10.png,10,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,1,8,29,20,1
,,o,0.52665,,,,,,images/5.png,5,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,1,9,30,15,1
,,o,0.36863,,,,,,images/7.png,7,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,1,10,31,17,1
,,e,1.836385,,,,,,images/-4.png,-4,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,1,11,32,6,1
,,e,0.468655,,,,,,images/-10.png,-10,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,1,12,33,0,1
,,e,0.69664,,,,,,images/-1.png,-1,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,1,13,34,9,1
,,e,0.504295,,,,,,images/1.png,1,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,1,14,35,11,1
,,e,0.37093,,,,,,images/-9.png,-9,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,1,15,36,1,1
,,o,0.358945,,,,,,images/8.png,8,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,1,16,37,18,1
,,o,0.41727,,,,,,images/4.png,4,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,1,17,38,14,1
,,o,0.43055,,,,,,images/9.png,9,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,1,18,39,19,1
,,e,0.36752,,,,,,images/-6.png,-6,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,1,19,40,4,1
,,e,1.00407,,,,,,images/3.png,3,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,1,20,41,13,1
,,o,0.3966,,,,,,images/4.png,4,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,2,0,42,14,1
,,e,0.35003,,,,,,images/-9.png,-9,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,2,1,43,1,1
,,o,0.40906,,,,,,images/9.png,9,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,2,2,44,19,1
,,e,0.47558,,,,,,images/-6.png,-6,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,2,3,45,4,1
,,o,2.63622,,,,,,images/-1.png,-1,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,2,4,46,9,1
,,e,0.33754,,,,,,images/-8.png,-8,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,2,5,47,2,1
,,e,0.470935,,,,,,images/-2.png,-2,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,2,6,48,8,1
,,o,0.25274,,,,,,images/3.png,3,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,2,7,49,13,1
,,e,0.39351,,,,,,images/2.png,2,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,2,8,50,12,1
,,o,0.419185,,,,,,images/7.png,7,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,2,9,51,17,1
,,e,0.460915,,,,,,images/0.png,0,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,2,10,52,10,1
,,o,0.23734,,,,,,images/8.png,8,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,2,11,53,18,1
,,e,0.392995,,,,,,images/-7.png,-7,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,2,12,54,3,1
,,e,0.385705,,,,,,images/-4.png,-4,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,2,13,55,6,1
,,e,0.25647,,,,,,images/-10.png,-10,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,2,14,56,0,1
,,o,0.279385,,,,,,images/5.png,5,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,2,15,57,15,1
,,e,0.681685,,,,,,images/1.png,1,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,2,16,58,11,1
,,e,0.33035,,,,,,images/-3.png,-3,Lucie ,001,2020-12-02_20h11.49.392,lm,2020.2.8,Win32,60,,,2,17,59,7,1
