resp_txt.keys,resp_txt.rt,resp.keys,resp.rt,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training.ran,line_file,offset,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_after_training.keys,key_resp_after_training.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,50.709,o,1.227,0,0,0,15,1,images/5.png,5,lafittesab,001,2020-12-03_22h11.14.063,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.316,0,1,1,13,1,images/3.png,3,lafittesab,001,2020-12-03_22h11.14.063,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.438,0,2,2,14,1,images/4.png,4,lafittesab,001,2020-12-03_22h11.14.063,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.431,0,3,3,12,1,images/2.png,2,lafittesab,001,2020-12-03_22h11.14.063,lm,2020.2.8,Win32,60,,,,,,,
,,e,4.752,0,4,4,10,1,images/0.png,0,lafittesab,001,2020-12-03_22h11.14.063,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.593,0,5,5,9,1,images/-1.png,-1,lafittesab,001,2020-12-03_22h11.14.063,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.65,0,6,6,3,1,images/-7.png,-7,lafittesab,001,2020-12-03_22h11.14.063,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.88,0,7,7,19,1,images/9.png,9,lafittesab,001,2020-12-03_22h11.14.063,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.946,0,8,8,0,1,images/-10.png,-10,lafittesab,001,2020-12-03_22h11.14.063,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.043,0,9,9,17,1,images/7.png,7,lafittesab,001,2020-12-03_22h11.14.063,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.33,0,10,10,2,1,images/-8.png,-8,lafittesab,001,2020-12-03_22h11.14.063,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.782,0,11,11,18,1,images/8.png,8,lafittesab,001,2020-12-03_22h11.14.063,lm,2020.2.8,Win32,60,,,,,,,
,,o,3.213,0,12,12,11,1,images/1.png,1,lafittesab,001,2020-12-03_22h11.14.063,lm,2020.2.8,Win32,60,,,,,,,
,,e,3.26,0,13,13,5,1,images/-5.png,-5,lafittesab,001,2020-12-03_22h11.14.063,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.047,0,14,14,16,1,images/6.png,6,lafittesab,001,2020-12-03_22h11.14.063,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.766,0,15,15,6,1,images/-4.png,-4,lafittesab,001,2020-12-03_22h11.14.063,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.018,0,16,16,4,1,images/-6.png,-6,lafittesab,001,2020-12-03_22h11.14.063,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.787,0,17,17,20,1,images/10.png,10,lafittesab,001,2020-12-03_22h11.14.063,lm,2020.2.8,Win32,60,,,,,,,
