resp_txt.keys,resp_txt.rt,resp.keys,resp.rt,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training.ran,line_file,offset,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_after_training.keys,key_resp_after_training.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,47.189,o,8.76,0,0,0,9,1,images/-1.png,-1,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.263,0,1,1,13,1,images/3.png,3,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.784,0,2,2,20,1,images/10.png,10,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.248,0,3,3,12,1,images/2.png,2,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.627,0,4,4,10,1,images/0.png,0,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.929,0,5,5,1,1,images/-9.png,-9,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.677,0,6,6,18,1,images/8.png,8,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.856,0,7,7,14,1,images/4.png,4,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.257,0,8,8,8,1,images/-2.png,-2,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.471,0,9,9,5,1,images/-5.png,-5,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.564,0,10,10,17,1,images/7.png,7,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.494,0,11,11,0,1,images/-10.png,-10,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.617,0,12,12,3,1,images/-7.png,-7,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.672,0,13,13,19,1,images/9.png,9,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.957,0,14,14,6,1,images/-4.png,-4,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.876,0,15,15,7,1,images/-3.png,-3,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.583,0,16,16,2,1,images/-8.png,-8,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.586,0,17,17,16,1,images/6.png,6,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.924,0,18,18,11,1,images/1.png,1,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.442,0,19,19,15,1,images/5.png,5,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.627,0,20,20,4,1,images/-6.png,-6,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.648,,,,,,images/5.png,5,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,space,6.871,0,0,0,15,1
,,e,0.849,,,,,,images/-9.png,-9,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,0,1,1,1,1
,,e,0.571,,,,,,images/-10.png,-10,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,0,2,2,0,1
,,e,0.821,,,,,,images/-3.png,-3,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,0,3,3,7,1
,,o,0.583,,,,,,images/4.png,4,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,0,4,4,14,1
,,o,0.815,,,,,,images/0.png,0,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,0,5,5,10,1
,,e,0.546,,,,,,images/-7.png,-7,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,0,6,6,3,1
,,o,0.66,,,,,,images/9.png,9,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,0,7,7,19,1
,,o,0.896,,,,,,images/7.png,7,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,0,8,8,17,1
,,e,0.997,,,,,,images/-4.png,-4,lafitte Marc,001,2020-12-03_22h30.03.044,lm,2020.2.8,Win32,60,,,0,9,9,6,1
