resp_txt.keys,resp_txt.rt,resp.keys,resp.rt,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training.ran,line_file,offset,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_after_training.keys,key_resp_after_training.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,27.592245,o,1.970435,0,0,0,14,1,images/4.png,4,François Lafitte,001,2020-12-05_21h44.39.311,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.17117,0,1,1,5,1,images/-5.png,-5,François Lafitte,001,2020-12-05_21h44.39.311,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.111625,0,2,2,7,1,images/-3.png,-3,François Lafitte,001,2020-12-05_21h44.39.311,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.882485,0,3,3,9,1,images/-1.png,-1,François Lafitte,001,2020-12-05_21h44.39.311,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.68409,0,4,4,15,1,images/5.png,5,François Lafitte,001,2020-12-05_21h44.39.311,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.18263,0,5,5,12,1,images/2.png,2,François Lafitte,001,2020-12-05_21h44.39.311,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.81786,0,6,6,18,1,images/8.png,8,François Lafitte,001,2020-12-05_21h44.39.311,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.75307,0,7,7,0,1,images/-10.png,-10,François Lafitte,001,2020-12-05_21h44.39.311,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.05344,0,8,8,13,1,images/3.png,3,François Lafitte,001,2020-12-05_21h44.39.311,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.60662,0,9,9,10,1,images/0.png,0,François Lafitte,001,2020-12-05_21h44.39.311,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.650445,0,10,10,4,1,images/-6.png,-6,François Lafitte,001,2020-12-05_21h44.39.311,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.93371,0,11,11,19,1,images/9.png,9,François Lafitte,001,2020-12-05_21h44.39.311,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.201885,0,12,12,11,1,images/1.png,1,François Lafitte,001,2020-12-05_21h44.39.311,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.604815,0,13,13,17,1,images/7.png,7,François Lafitte,001,2020-12-05_21h44.39.311,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.748695,0,14,14,3,1,images/-7.png,-7,François Lafitte,001,2020-12-05_21h44.39.311,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.703675,0,15,15,20,1,images/10.png,10,François Lafitte,001,2020-12-05_21h44.39.311,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.6548,0,16,16,6,1,images/-4.png,-4,François Lafitte,001,2020-12-05_21h44.39.311,lm,2020.2.8,Win32,60,,,,,,,
