resp_txt.keys,resp_txt.rt,resp.keys,resp.rt,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training.ran,line_file,offset,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_after_training.keys,key_resp_after_training.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,55.01659,e,5.916115,0,0,0,2,1,images/-8.png,-8,Anne Lafitte,001,2020-12-05_17h59.43.874,lm,2020.2.8,Win32,60,,,,,,,
,,e,2.349685,0,1,1,6,1,images/-4.png,-4,Anne Lafitte,001,2020-12-05_17h59.43.874,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.633435,0,2,2,3,1,images/-7.png,-7,Anne Lafitte,001,2020-12-05_17h59.43.874,lm,2020.2.8,Win32,60,,,,,,,
,,o,2.599615,0,3,3,11,1,images/1.png,1,Anne Lafitte,001,2020-12-05_17h59.43.874,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.950465,0,4,4,17,1,images/7.png,7,Anne Lafitte,001,2020-12-05_17h59.43.874,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.90243,0,5,5,19,1,images/9.png,9,Anne Lafitte,001,2020-12-05_17h59.43.874,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.867535,0,6,6,18,1,images/8.png,8,Anne Lafitte,001,2020-12-05_17h59.43.874,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.16474,0,7,7,16,1,images/6.png,6,Anne Lafitte,001,2020-12-05_17h59.43.874,lm,2020.2.8,Win32,60,,,,,,,
,,o,2.45022,0,8,8,13,1,images/3.png,3,Anne Lafitte,001,2020-12-05_17h59.43.874,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.08442,0,9,9,0,1,images/-10.png,-10,Anne Lafitte,001,2020-12-05_17h59.43.874,lm,2020.2.8,Win32,60,,,,,,,
,,o,2.600345,0,10,10,9,1,images/-1.png,-1,Anne Lafitte,001,2020-12-05_17h59.43.874,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.534675,0,11,11,20,1,images/10.png,10,Anne Lafitte,001,2020-12-05_17h59.43.874,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.94936,0,12,12,7,1,images/-3.png,-3,Anne Lafitte,001,2020-12-05_17h59.43.874,lm,2020.2.8,Win32,60,,,,,,,
,,o,3.034285,0,13,13,10,1,images/0.png,0,Anne Lafitte,001,2020-12-05_17h59.43.874,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.83326,0,14,14,15,1,images/5.png,5,Anne Lafitte,001,2020-12-05_17h59.43.874,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.51614,0,15,15,8,1,images/-2.png,-2,Anne Lafitte,001,2020-12-05_17h59.43.874,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.03969,0,16,16,5,1,images/-5.png,-5,Anne Lafitte,001,2020-12-05_17h59.43.874,lm,2020.2.8,Win32,60,,,,,,,
