resp_txt.keys,resp_txt.rt,resp.keys,resp.rt,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training.ran,line_file,offset,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_after_training.keys,key_resp_after_training.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,27.641375,e,0.59298,0,0,0,3,1,images/-7.png,-7,Jeanne Lafitte,001,2020-12-05_18h09.51.565,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.393545,0,1,1,18,1,images/8.png,8,Jeanne Lafitte,001,2020-12-05_18h09.51.565,lm,2020.2.8,Win32,60,,,,,,,
,,e,2.613025,0,2,2,7,1,images/-3.png,-3,Jeanne Lafitte,001,2020-12-05_18h09.51.565,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.572725,0,3,3,1,1,images/-9.png,-9,Jeanne Lafitte,001,2020-12-05_18h09.51.565,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.994755,0,4,4,6,1,images/-4.png,-4,Jeanne Lafitte,001,2020-12-05_18h09.51.565,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.52107,0,5,5,17,1,images/7.png,7,Jeanne Lafitte,001,2020-12-05_18h09.51.565,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.079765,0,6,6,11,1,images/1.png,1,Jeanne Lafitte,001,2020-12-05_18h09.51.565,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.458035,0,7,7,5,1,images/-5.png,-5,Jeanne Lafitte,001,2020-12-05_18h09.51.565,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.45203,0,8,8,0,1,images/-10.png,-10,Jeanne Lafitte,001,2020-12-05_18h09.51.565,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.51349,0,9,9,20,1,images/10.png,10,Jeanne Lafitte,001,2020-12-05_18h09.51.565,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.61772,0,10,10,19,1,images/9.png,9,Jeanne Lafitte,001,2020-12-05_18h09.51.565,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.769005,0,11,11,14,1,images/4.png,4,Jeanne Lafitte,001,2020-12-05_18h09.51.565,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.417835,0,12,12,15,1,images/5.png,5,Jeanne Lafitte,001,2020-12-05_18h09.51.565,lm,2020.2.8,Win32,60,,,,,,,
,,e,3.076335,0,13,13,9,1,images/-1.png,-1,Jeanne Lafitte,001,2020-12-05_18h09.51.565,lm,2020.2.8,Win32,60,,,,,,,
