resp_txt.keys,resp_txt.rt,resp.keys,resp.rt,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training.ran,line_file,offset,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_after_training.keys,key_resp_after_training.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,20.514145,e,1.783885,0,0,0,4,1,images/-6.png,-6,Sylvain Lafitte,001,2020-12-05_18h17.39.522,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.6506,0,1,1,0,1,images/-10.png,-10,Sylvain Lafitte,001,2020-12-05_18h17.39.522,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.96716,0,2,2,19,1,images/9.png,9,Sylvain Lafitte,001,2020-12-05_18h17.39.522,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.63382,0,3,3,2,1,images/-8.png,-8,Sylvain Lafitte,001,2020-12-05_18h17.39.522,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.7344,0,4,4,17,1,images/7.png,7,Sylvain Lafitte,001,2020-12-05_18h17.39.522,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.4005,0,5,5,1,1,images/-9.png,-9,Sylvain Lafitte,001,2020-12-05_18h17.39.522,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.950485,0,6,6,9,1,images/-1.png,-1,Sylvain Lafitte,001,2020-12-05_18h17.39.522,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.7157,0,7,7,11,1,images/1.png,1,Sylvain Lafitte,001,2020-12-05_18h17.39.522,lm,2020.2.8,Win32,60,,,,,,,
,,o,2.433075,0,8,8,16,1,images/6.png,6,Sylvain Lafitte,001,2020-12-05_18h17.39.522,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.351715,0,9,9,15,1,images/5.png,5,Sylvain Lafitte,001,2020-12-05_18h17.39.522,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.56813,0,10,10,8,1,images/-2.png,-2,Sylvain Lafitte,001,2020-12-05_18h17.39.522,lm,2020.2.8,Win32,60,,,,,,,
