resp_txt.keys,resp_txt.rt,resp.keys,resp.rt,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training.ran,line_file,offset,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_after_training.keys,key_resp_after_training.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,110.92623,e,30.264195,0,0,0,12,1,images/2.png,2,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,,,,,
,,o,13.31811,0,1,1,17,1,images/7.png,7,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,,,,,
,,e,14.609525,0,2,2,5,1,images/-5.png,-5,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,,,,,
,,o,7.76291,0,3,3,13,1,images/3.png,3,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,,,,,
,,e,7.299775,0,4,4,1,1,images/-9.png,-9,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,,,,,
,,e,6.83512,0,5,5,7,1,images/-3.png,-3,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,,,,,
,,o,5.042775,0,6,6,19,1,images/9.png,9,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,,,,,
,,e,5.67184,0,7,7,8,1,images/-2.png,-2,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,,,,,
,,e,13.368825,0,8,8,9,1,images/-1.png,-1,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,,,,,
,,e,4.22181,0,9,9,3,1,images/-7.png,-7,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,,,,,
,,e,8.206495,0,10,10,4,1,images/-6.png,-6,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,,,,,
,,o,29.494355,0,11,11,10,1,images/0.png,0,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,,,,,
,,e,5.72024,0,12,12,2,1,images/-8.png,-8,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,,,,,
,,e,8.99503,0,13,13,11,1,images/1.png,1,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,,,,,
,,o,4.499705,0,14,14,15,1,images/5.png,5,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,,,,,
,,o,3.92567,0,15,15,14,1,images/4.png,4,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,,,,,
,,o,3.770085,0,16,16,16,1,images/6.png,6,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,,,,,
,,e,3.03694,0,17,17,0,1,images/-10.png,-10,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,,,,,
,,o,3.727875,0,18,18,20,1,images/10.png,10,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,,,,,
,,o,3.6676,0,19,19,18,1,images/8.png,8,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,,,,,
,,e,6.52944,0,20,20,6,1,images/-4.png,-4,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,,,,,
,,o,6.07506,,,,,,images/2.png,2,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,space,10.734305,0,0,0,12,1
,,e,3.49179,,,,,,images/-8.png,-8,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,0,1,1,2,1
,,e,4.04605,,,,,,images/-5.png,-5,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,0,2,2,5,1
,,o,3.98826,,,,,,images/1.png,1,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,0,3,3,11,1
,,e,3.51392,,,,,,images/-7.png,-7,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,0,4,4,3,1
,,e,3.49103,,,,,,images/0.png,0,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,0,5,5,10,1
,,o,4.940335,,,,,,images/3.png,3,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,0,6,6,13,1
,,e,3.082235,,,,,,images/-10.png,-10,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,0,7,7,0,1
,,e,3.23651,,,,,,images/-6.png,-6,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,0,8,8,4,1
,,o,3.320645,,,,,,images/7.png,7,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,0,9,9,17,1
,,o,3.42187,,,,,,images/9.png,9,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,0,10,10,19,1
,,e,3.929515,,,,,,images/-3.png,-3,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,0,11,11,7,1
,,o,3.046175,,,,,,images/6.png,6,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,0,12,12,16,1
,,o,3.386345,,,,,,images/8.png,8,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,0,13,13,18,1
,,o,2.68012,,,,,,images/10.png,10,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,0,14,14,20,1
,,o,2.60754,,,,,,images/5.png,5,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,0,15,15,15,1
,,e,2.54458,,,,,,images/-2.png,-2,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,0,16,16,8,1
,,e,3.003385,,,,,,images/-9.png,-9,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,0,17,17,1,1
,,o,3.98872,,,,,,images/4.png,4,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,0,18,18,14,1
,,e,3.014965,,,,,,images/-4.png,-4,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,0,19,19,6,1
,,e,5.648785,,,,,,images/-1.png,-1,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,0,20,20,9,1
,,e,2.56502,,,,,,images/-6.png,-6,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,1,0,21,4,1
,,o,2.262285,,,,,,images/10.png,10,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,1,1,22,20,1
,,e,2.803195,,,,,,images/0.png,0,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,1,2,23,10,1
,,e,4.981075,,,,,,images/-2.png,-2,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,1,3,24,8,1
,,e,3.06543,,,,,,images/-4.png,-4,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,1,4,25,6,1
,,e,3.53458,,,,,,images/-1.png,-1,denicole,001,2020-12-06_15h05.00.842,lm,2020.2.8,Win32,60,,,1,5,26,9,1
