resp_txt.keys,resp_txt.rt,resp.keys,resp.rt,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training.ran,line_file,offset,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_after_training.keys,key_resp_after_training.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,26.569745,e,5.60002,0,0,0,8,1,images/-2.png,-2,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.65933,0,1,1,1,1,images/-9.png,-9,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.46037,0,2,2,18,1,images/8.png,8,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.870455,0,3,3,5,1,images/-5.png,-5,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.00565,0,4,4,4,1,images/-6.png,-6,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,,,,,
,,o,4.036225,0,5,5,13,1,images/3.png,3,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.893925,0,6,6,20,1,images/10.png,10,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.04994,0,7,7,7,1,images/-3.png,-3,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.42057,0,8,8,6,1,images/-4.png,-4,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.128945,0,9,9,2,1,images/-8.png,-8,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.412895,0,10,10,3,1,images/-7.png,-7,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.04921,0,11,11,0,1,images/-10.png,-10,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.673575,0,12,12,17,1,images/7.png,7,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.433555,0,13,13,12,1,images/2.png,2,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.880145,0,14,14,10,1,images/0.png,0,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.01908,0,15,15,14,1,images/4.png,4,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.71672,0,16,16,19,1,images/9.png,9,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.532595,0,17,17,11,1,images/1.png,1,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.330685,0,18,18,9,1,images/-1.png,-1,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.793615,0,19,19,16,1,images/6.png,6,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.112265,0,20,20,15,1,images/5.png,5,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.910105,,,,,,images/5.png,5,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,space,16.693545,0,0,0,15,1
,,e,0.85606,,,,,,images/-6.png,-6,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,0,1,1,4,1
,,o,1.10351,,,,,,images/4.png,4,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,0,2,2,14,1
,,o,0.67875,,,,,,images/7.png,7,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,0,3,3,17,1
,,o,1.018985,,,,,,images/6.png,6,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,0,4,4,16,1
,,e,0.96719,,,,,,images/1.png,1,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,0,5,5,11,1
,,o,0.987475,,,,,,images/3.png,3,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,0,6,6,13,1
,,e,0.7104,,,,,,images/-10.png,-10,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,0,7,7,0,1
,,e,0.892685,,,,,,images/-8.png,-8,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,0,8,8,2,1
,,o,0.97669,,,,,,images/0.png,0,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,0,9,9,10,1
,,e,1.339345,,,,,,images/-1.png,-1,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,0,10,10,9,1
,,e,2.336505,,,,,,images/-3.png,-3,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,0,11,11,7,1
,,e,2.753535,,,,,,images/-2.png,-2,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,0,12,12,8,1
,,e,0.73887,,,,,,images/-7.png,-7,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,0,13,13,3,1
,,o,1.22142,,,,,,images/2.png,2,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,0,14,14,12,1
,,e,0.69209,,,,,,images/-9.png,-9,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,0,15,15,1,1
,,e,1.161195,,,,,,images/-4.png,-4,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,0,16,16,6,1
,,o,1.000505,,,,,,images/10.png,10,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,0,17,17,20,1
,,o,1.184745,,,,,,images/9.png,9,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,0,18,18,19,1
,,o,0.75934,,,,,,images/8.png,8,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,0,19,19,18,1
,,e,1.812845,,,,,,images/-5.png,-5,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,0,20,20,5,1
,,e,0.878245,,,,,,images/-7.png,-7,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,1,0,21,3,1
,,e,0.737375,,,,,,images/-8.png,-8,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,1,1,22,2,1
,,e,2.31146,,,,,,images/-4.png,-4,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,1,2,23,6,1
,,o,0.856005,,,,,,images/4.png,4,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,1,3,24,14,1
,,o,1.6691,,,,,,images/6.png,6,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,1,4,25,16,1
,,o,1.554005,,,,,,images/1.png,1,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,1,5,26,11,1
,,o,3.810815,,,,,,images/-5.png,-5,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,1,6,27,5,1
,,o,1.21898,,,,,,images/5.png,5,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,1,7,28,15,1
,,e,1.473185,,,,,,images/3.png,3,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,1,8,29,13,1
,,e,0.617675,,,,,,images/-9.png,-9,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,1,9,30,1,1
,,o,0.50764,,,,,,images/9.png,9,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,1,10,31,19,1
,,o,0.561145,,,,,,images/7.png,7,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,1,11,32,17,1
,,e,0.92219,,,,,,images/-10.png,-10,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,1,12,33,0,1
,,o,0.536605,,,,,,images/10.png,10,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,1,13,34,20,1
,,e,1.425585,,,,,,images/2.png,2,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,1,14,35,12,1
,,o,0.6509,,,,,,images/8.png,8,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,1,15,36,18,1
,,e,0.54009,,,,,,images/-6.png,-6,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,1,16,37,4,1
,,e,0.6868,,,,,,images/-2.png,-2,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,1,17,38,8,1
,,e,0.83943,,,,,,images/-1.png,-1,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,1,18,39,9,1
,,e,2.141385,,,,,,images/0.png,0,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,1,19,40,10,1
,,o,8.130375,,,,,,images/-3.png,-3,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,1,20,41,7,1
,,e,2.32443,,,,,,images/-7.png,-7,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,2,0,42,3,1
,,e,1.39061,,,,,,images/-3.png,-3,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,2,1,43,7,1
,,e,1.45503,,,,,,images/-5.png,-5,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,2,2,44,5,1
,,e,1.012225,,,,,,images/-2.png,-2,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,2,3,45,8,1
,,o,0.820725,,,,,,images/3.png,3,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,2,4,46,13,1
,,o,0.688485,,,,,,images/9.png,9,fafa.l,001,2020-12-07_08h50.38.283,lm,2020.2.8,Win32,60,,,2,5,47,19,1
