resp_txt.keys,resp_txt.rt,resp.keys,resp.rt,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training.ran,line_file,offset,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_after_training.keys,key_resp_after_training.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,47.012915,o,3.38266,0,0,0,12,1,images/2.png,2,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.80167,0,1,1,15,1,images/5.png,5,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,,,,,
,,e,2.46669,0,2,2,4,1,images/-6.png,-6,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,,,,,
,,e,2.40324,0,3,3,13,1,images/3.png,3,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.758825,0,4,4,0,1,images/-10.png,-10,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,,,,,
,,o,2.525025,0,5,5,14,1,images/4.png,4,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.707095,0,6,6,3,1,images/-7.png,-7,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.01826,0,7,7,19,1,images/9.png,9,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,,,,,
,,e,2.68855,0,8,8,8,1,images/-2.png,-2,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,,,,,
,,e,2.457725,0,9,9,7,1,images/-3.png,-3,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,,,,,
,,e,2.35247,0,10,10,5,1,images/-5.png,-5,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.87659,0,11,11,16,1,images/6.png,6,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,,,,,
,,e,2.843415,0,12,12,11,1,images/1.png,1,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.595005,0,13,13,1,1,images/-9.png,-9,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.832105,0,14,14,20,1,images/10.png,10,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.702735,0,15,15,18,1,images/8.png,8,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.89421,0,16,16,17,1,images/7.png,7,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,,,,,
,,e,2.39022,0,17,17,9,1,images/-1.png,-1,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,,,,,
,,e,3.116425,0,18,18,2,1,images/-8.png,-8,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.902075,0,19,19,10,1,images/0.png,0,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.68659,0,20,20,6,1,images/-4.png,-4,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.649035,,,,,,images/-3.png,-3,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,space,6.345985,0,0,0,7,1
,,e,4.122045,,,,,,images/3.png,3,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,0,1,1,13,1
,,e,1.86304,,,,,,images/-2.png,-2,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,0,2,2,8,1
,,o,1.60995,,,,,,images/10.png,10,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,0,3,3,20,1
,,o,2.457895,,,,,,images/4.png,4,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,0,4,4,14,1
,,e,2.56778,,,,,,images/1.png,1,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,0,5,5,11,1
,,e,0.869945,,,,,,images/-1.png,-1,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,0,6,6,9,1
,,e,0.818725,,,,,,images/-6.png,-6,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,0,7,7,4,1
,,e,2.074685,,,,,,images/-10.png,-10,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,0,8,8,0,1
,,o,2.44265,,,,,,images/5.png,5,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,0,9,9,15,1
,,e,0.967295,,,,,,images/-9.png,-9,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,0,10,10,1,1
,,o,2.95488,,,,,,images/2.png,2,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,0,11,11,12,1
,,e,3.00295,,,,,,images/0.png,0,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,0,12,12,10,1
,,e,1.407265,,,,,,images/-5.png,-5,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,0,13,13,5,1
,,o,2.247915,,,,,,images/9.png,9,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,0,14,14,19,1
,,o,2.30309,,,,,,images/7.png,7,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,0,15,15,17,1
,,o,2.6116,,,,,,images/8.png,8,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,0,16,16,18,1
,,e,2.91757,,,,,,images/-8.png,-8,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,0,17,17,2,1
,,o,2.48529,,,,,,images/6.png,6,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,0,18,18,16,1
,,e,1.837975,,,,,,images/-7.png,-7,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,0,19,19,3,1
,,e,1.36699,,,,,,images/-4.png,-4,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,0,20,20,6,1
,,e,2.324705,,,,,,images/-2.png,-2,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,1,0,21,8,1
,,e,2.27972,,,,,,images/7.png,7,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,1,1,22,17,1
,,e,1.500945,,,,,,images/-8.png,-8,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,1,2,23,2,1
,,o,2.598235,,,,,,images/6.png,6,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,1,3,24,16,1
,,o,1.65126,,,,,,images/8.png,8,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,1,4,25,18,1
,,e,1.387095,,,,,,images/-1.png,-1,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,1,5,26,9,1
,,o,3.999335,,,,,,images/10.png,10,cece.l,001,2020-12-07_08h41.16.358,lm,2020.2.8,Win32,60,,,1,6,27,20,1
