resp_txt.keys,resp_txt.rt,resp.keys,resp.rt,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training.ran,line_file,offset,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_after_training.keys,key_resp_after_training.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,6.116,o,0.434,0,0,0,14,1,images/4.png,4,remi2,001,2020-12-07_18h45.17.859,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.701,0,1,1,0,1,images/-10.png,-10,remi2,001,2020-12-07_18h45.17.859,lm,2020.2.8,Win32,60,,,,,,,
,,o,2.275,0,2,2,12,1,images/2.png,2,remi2,001,2020-12-07_18h45.17.859,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.424,0,3,3,19,1,images/9.png,9,remi2,001,2020-12-07_18h45.17.859,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.473,0,4,4,2,1,images/-8.png,-8,remi2,001,2020-12-07_18h45.17.859,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.352,0,5,5,20,1,images/10.png,10,remi2,001,2020-12-07_18h45.17.859,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.451,0,6,6,18,1,images/8.png,8,remi2,001,2020-12-07_18h45.17.859,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.65,0,7,7,17,1,images/7.png,7,remi2,001,2020-12-07_18h45.17.859,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.968,0,8,8,11,1,images/1.png,1,remi2,001,2020-12-07_18h45.17.859,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.42,0,9,9,4,1,images/-6.png,-6,remi2,001,2020-12-07_18h45.17.859,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.054,0,10,10,8,1,images/-2.png,-2,remi2,001,2020-12-07_18h45.17.859,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.421,0,11,11,15,1,images/5.png,5,remi2,001,2020-12-07_18h45.17.859,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.39,0,12,12,5,1,images/-5.png,-5,remi2,001,2020-12-07_18h45.17.859,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.185,0,13,13,13,1,images/3.png,3,remi2,001,2020-12-07_18h45.17.859,lm,2020.2.8,Win32,60,,,,,,,
,,o,2.018,0,14,14,7,1,images/-3.png,-3,remi2,001,2020-12-07_18h45.17.859,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.367,0,15,15,10,1,images/0.png,0,remi2,001,2020-12-07_18h45.17.859,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.2,0,16,16,6,1,images/-4.png,-4,remi2,001,2020-12-07_18h45.17.859,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.4,0,17,17,3,1,images/-7.png,-7,remi2,001,2020-12-07_18h45.17.859,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.336,0,18,18,1,1,images/-9.png,-9,remi2,001,2020-12-07_18h45.17.859,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.389,0,19,19,16,1,images/6.png,6,remi2,001,2020-12-07_18h45.17.859,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.222,0,20,20,9,1,images/-1.png,-1,remi2,001,2020-12-07_18h45.17.859,lm,2020.2.8,Win32,60,,,,,,,
