resp_txt.keys,resp_txt.rt,resp.keys,resp.rt,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training.ran,line_file,offset,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_after_training.keys,key_resp_after_training.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,3.44941,e,1.540385,0,0,0,2,1,images/-8.png,-8,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.33471,0,1,1,5,1,images/-5.png,-5,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.69662,0,2,2,19,1,images/9.png,9,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.53655,0,3,3,11,1,images/1.png,1,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.434455,0,4,4,7,1,images/-3.png,-3,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.5926,0,5,5,16,1,images/6.png,6,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.394415,0,6,6,1,1,images/-9.png,-9,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.29159,0,7,7,0,1,images/-10.png,-10,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.229285,0,8,8,3,1,images/-7.png,-7,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.31195,0,9,9,20,1,images/10.png,10,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.585895,0,10,10,14,1,images/4.png,4,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.330815,0,11,11,8,1,images/-2.png,-2,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.34916,0,12,12,15,1,images/5.png,5,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.35079,0,13,13,9,1,images/-1.png,-1,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.969405,0,14,14,13,1,images/3.png,3,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.465665,0,15,15,12,1,images/2.png,2,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.233605,0,16,16,10,1,images/0.png,0,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.09892,0,17,17,6,1,images/-4.png,-4,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.49756,0,18,18,18,1,images/8.png,8,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.36635,0,19,19,4,1,images/-6.png,-6,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.437475,0,20,20,17,1,images/7.png,7,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.217595,,,,,,images/-1.png,-1,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,space,0.68286,0,0,0,9,1
,,e,0.26023,,,,,,images/-10.png,-10,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,0,1,1,0,1
,,o,1.28411,,,,,,images/5.png,5,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,0,2,2,15,1
,,e,0.301405,,,,,,images/-8.png,-8,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,0,3,3,2,1
,,o,0.5123,,,,,,images/9.png,9,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,0,4,4,19,1
,,e,1.4122,,,,,,images/2.png,2,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,0,5,5,12,1
,,e,0.366845,,,,,,images/-5.png,-5,André Lafitte,001,2020-12-07_20h35.19.652,lm,2020.2.8,Win32,60,,,0,6,6,5,1
