resp_txt.keys,resp_txt.rt,resp.keys,resp.rt,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training.ran,line_file,offset,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_after_training.keys,key_resp_after_training.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,29.405315,o,2.685655,0,0,0,20,1,images/10.png,10,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,,,,,
,,o,2.31907,0,1,1,16,1,images/6.png,6,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,,,,,
,,e,2.169135,0,2,2,0,1,images/-10.png,-10,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,,,,,
,,o,2.106115,0,3,3,15,1,images/5.png,5,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.467475,0,4,4,17,1,images/7.png,7,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,,,,,
,,e,2.3199,0,5,5,6,1,images/-4.png,-4,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,,,,,
,,e,2.220235,0,6,6,4,1,images/-6.png,-6,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,,,,,
,,o,2.681175,0,7,7,7,1,images/-3.png,-3,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.33264,0,8,8,12,1,images/2.png,2,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.00258,0,9,9,8,1,images/-2.png,-2,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.10882,0,10,10,13,1,images/3.png,3,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.51265,0,11,11,11,1,images/1.png,1,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,,,,,
,,e,2.669255,0,12,12,2,1,images/-8.png,-8,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.612435,0,13,13,18,1,images/8.png,8,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,,,,,
,,e,2.756585,0,14,14,3,1,images/-7.png,-7,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.401745,0,15,15,5,1,images/-5.png,-5,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.456695,0,16,16,14,1,images/4.png,4,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,,,,,
,,e,2.200845,0,17,17,9,1,images/-1.png,-1,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,,,,,
,,o,2.433765,0,18,18,10,1,images/0.png,0,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.764735,0,19,19,1,1,images/-9.png,-9,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.832525,0,20,20,19,1,images/9.png,9,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.320865,,,,,,images/9.png,9,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,space,4.30058,0,0,0,19,1
,,o,2.258285,,,,,,images/6.png,6,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,0,1,1,16,1
,,e,1.7338,,,,,,images/-6.png,-6,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,0,2,2,4,1
,,e,4.063,,,,,,images/-7.png,-7,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,0,3,3,3,1
,,o,2.198595,,,,,,images/8.png,8,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,0,4,4,18,1
,,o,2.188235,,,,,,images/3.png,3,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,0,5,5,13,1
,,e,2.11757,,,,,,images/-1.png,-1,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,0,6,6,9,1
,,o,2.402885,,,,,,images/10.png,10,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,0,7,7,20,1
,,e,2.112105,,,,,,images/-10.png,-10,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,0,8,8,0,1
,,e,2.482325,,,,,,images/-2.png,-2,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,0,9,9,8,1
,,o,2.1746,,,,,,images/5.png,5,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,0,10,10,15,1
,,e,2.282675,,,,,,images/-8.png,-8,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,0,11,11,2,1
,,e,2.441695,,,,,,images/0.png,0,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,0,12,12,10,1
,,e,2.11878,,,,,,images/-4.png,-4,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,0,13,13,6,1
,,e,2.198015,,,,,,images/-5.png,-5,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,0,14,14,5,1
,,o,2.109095,,,,,,images/2.png,2,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,0,15,15,12,1
,,o,2.465565,,,,,,images/1.png,1,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,0,16,16,11,1
,,o,2.081695,,,,,,images/4.png,4,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,0,17,17,14,1
,,e,2.140195,,,,,,images/-3.png,-3,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,0,18,18,7,1
,,o,2.16593,,,,,,images/7.png,7,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,0,19,19,17,1
,,e,0.99414,,,,,,images/-9.png,-9,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,0,20,20,1,1
,,e,1.401275,,,,,,images/-9.png,-9,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,1,0,21,1,1
,,o,1.45449,,,,,,images/9.png,9,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,1,1,22,19,1
,,o,1.173625,,,,,,images/10.png,10,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,1,2,23,20,1
,,e,1.40734,,,,,,images/-10.png,-10,Manon.L,001,2020-12-07_20h42.20.820,lm,2020.2.8,Win32,60,,,1,3,24,0,1
