resp_txt.keys,resp_txt.rt,resp.keys,resp.rt,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training.ran,line_file,offset,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_after_training.keys,key_resp_after_training.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,14.976655,e,2.085305,0,0,0,11,1,images/1.png,1,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.811885,0,1,1,7,1,images/-3.png,-3,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.47607,0,2,2,8,1,images/-2.png,-2,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,,,,,
,,o,2.26019,0,3,3,10,1,images/0.png,0,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.422765,0,4,4,19,1,images/9.png,9,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.771095,0,5,5,18,1,images/8.png,8,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.58237,0,6,6,14,1,images/4.png,4,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.899535,0,7,7,3,1,images/-7.png,-7,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.061945,0,8,8,1,1,images/-9.png,-9,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.61526,0,9,9,5,1,images/-5.png,-5,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.371155,0,10,10,2,1,images/-8.png,-8,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.802425,0,11,11,6,1,images/-4.png,-4,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.636985,0,12,12,4,1,images/-6.png,-6,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.769775,0,13,13,12,1,images/2.png,2,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.56622,0,14,14,15,1,images/5.png,5,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.40909,0,15,15,0,1,images/-10.png,-10,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.756075,0,16,16,16,1,images/6.png,6,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.441805,0,17,17,20,1,images/10.png,10,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.728135,0,18,18,9,1,images/-1.png,-1,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.52361,0,19,19,17,1,images/7.png,7,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.64988,0,20,20,13,1,images/3.png,3,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.87017,,,,,,images/-6.png,-6,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,space,3.240205,0,0,0,4,1
,,e,0.707255,,,,,,images/-10.png,-10,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,0,1,1,0,1
,,e,0.987975,,,,,,images/-4.png,-4,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,0,2,2,6,1
,,e,0.5553,,,,,,images/-9.png,-9,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,0,3,3,1,1
,,o,0.675785,,,,,,images/7.png,7,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,0,4,4,17,1
,,o,0.70046,,,,,,images/4.png,4,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,0,5,5,14,1
,,o,0.804285,,,,,,images/3.png,3,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,0,6,6,13,1
,,o,0.965835,,,,,,images/0.png,0,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,0,7,7,10,1
,,o,0.6,,,,,,images/10.png,10,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,0,8,8,20,1
,,e,0.926185,,,,,,images/-8.png,-8,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,0,9,9,2,1
,,o,0.66811,,,,,,images/6.png,6,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,0,10,10,16,1
,,e,0.93529,,,,,,images/-7.png,-7,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,0,11,11,3,1
,,o,0.697885,,,,,,images/5.png,5,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,0,12,12,15,1
,,e,0.808095,,,,,,images/-3.png,-3,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,0,13,13,7,1
,,o,1.578865,,,,,,images/8.png,8,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,0,14,14,18,1
,,e,1.64852,,,,,,images/-1.png,-1,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,0,15,15,9,1
,,o,1.43825,,,,,,images/9.png,9,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,0,16,16,19,1
,,o,0.614815,,,,,,images/1.png,1,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,0,17,17,11,1
,,o,0.599225,,,,,,images/2.png,2,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,0,18,18,12,1
,,e,1.35344,,,,,,images/-2.png,-2,zozoé,001,2020-12-08_16h37.38.141,lm,2020.2.8,Win32,60,,,0,19,19,8,1
