line_file,offset,jitter_x_cm,jitter_x_norm,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon_txt.started,polygon_txt.stopped,text.started,text.stopped,resp_txt.keys,resp_txt.rt,resp_txt.started,resp_txt.stopped,polygon.started,polygon.stopped,image.started,image.stopped,resp.keys,resp.rt,resp.started,resp.stopped,polygon_txt_after_training.started,polygon_txt_after_training.stopped,text_after_train.started,text_after_train.stopped,key_resp_after_training.keys,key_resp_after_training.rt,key_resp_after_training.started,key_resp_after_training.stopped,polygon_end.started,polygon_end.stopped,text_end.started,text_end.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,9.04998589999741,None,9.04998589999741,None,space,27.851833099965006,9.04998589999741,None,,,,,,,,,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l2.png,-2,-0.15,-0.01875,0,0,0,4,,,,,,,,,,,,,36.97146599995904,None,37.49512269999832,39.99929039995186,left,3.365517899976112,37.648609299969394,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r4.png,4,-0.3,-0.0375,0,1,1,11,,,,,,,,,,,,,41.05693069996778,None,41.55290709994733,44.053393099980894,right,2.9411249000113457,41.75261609995505,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r8.png,8,0.0,0.0,0,2,2,12,,,,,,,,,,,,,44.73882179998327,None,45.239893099991605,None,right,2.1993599999696016,45.42299269995419,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l8.png,-8,0.0,0.0,0,3,3,1,,,,,,,,,,,,,47.657481299946085,None,48.14284649997717,None,left,1.5838890000013635,48.34245309996186,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r1.png,1,0.3,0.0375,0,4,4,8,,,,,,,,,,,,,49.960132299980614,None,50.44530009996379,52.94563329999801,left,2.7369018999743275,50.644834899983834,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r2.png,2,0.15,0.01875,0,5,5,10,,,,,,,,,,,,,53.43578309996519,None,53.931914099957794,56.43242019996978,left,3.570086399966385,54.1316652999958,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r8.png,8,0.3,0.0375,0,6,6,13,,,,,,,,,,,,,57.736505099979695,None,58.23636039998382,None,right,1.217888800019864,58.43596019997494,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l4.png,-4,-0.15,-0.01875,0,7,7,2,,,,,,,,,,,,,59.691872099996544,None,60.18831689999206,None,left,1.2178061000304297,60.388014399970416,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l2.png,-2,-0.3,-0.0375,0,8,8,3,,,,,,,,,,,,,61.6426445999532,None,62.13998439995339,None,left,2.098274299991317,62.33976669999538,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l2.png,-2,0.15,0.01875,0,9,9,5,,,,,,,,,,,,,64.47198049997678,None,64.95962229999714,None,left,1.7583411000086926,65.15928979997989,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r2.png,2,-0.15,-0.01875,0,10,10,9,,,,,,,,,,,,,66.96006439998746,None,67.44549399998505,69.94599709997419,right,3.4806759000057355,67.64517879998311,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l1.png,-1,0.3,0.0375,0,11,11,6,,,,,,,,,,,,,71.16128579998622,None,71.64946739998413,None,left,1.5808997999993153,71.84921600000234,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/0.png,0,-0.15,-0.01875,0,12,12,7,,,,,,,,,,,,,73.46773169998778,None,73.96875,76.46918239997467,left,3.4051731000072323,74.16852999996627,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l8.png,-8,-0.3,-0.0375,0,13,13,0,,,,,,,,,,,,,77.62141389999306,None,78.12271759996656,None,left,1.0593610999640077,78.32231829996454,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.40546209999593,None,79.40546209999593,None,space,1.7919346999842674,80.38973879994592,None,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l1.png,-1,-0.15,-0.01875,,,,,0,0,0,16,,,,,,,,,82.2298816999537,None,82.72739779995754,85.22794759995304,left,2.726628700038418,82.92710839997744,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r1.png,1,0.3,0.0375,,,,,0,1,1,29,,,,,,,,,85.69206619996112,None,86.18061739997938,None,right,1.465750100032892,86.38046279997798,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r1.png,1,-0.3,-0.0375,,,,,0,2,2,25,,,,,,,,,87.88194819999626,None,88.38283929997124,None,right,1.6005193999735638,88.56599539995659,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r1.png,1,0.15,0.01875,,,,,0,3,3,28,,,,,,,,,90.19845339999301,None,90.68545299995458,None,right,1.120602399983909,90.88505949999671,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l1.png,-1,0.0,0.0,,,,,0,4,4,17,,,,,,,,,92.05259029997978,None,92.55381009995472,None,left,0.8206597000244074,92.73697119997814,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l8.png,-8,0.0,0.0,,,,,0,5,5,2,,,,,,,,,93.60341709997738,None,94.08884779998334,None,left,0.7248567000497133,94.28885149996495,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l1.png,-1,0.3,0.0375,,,,,0,6,6,19,,,,,,,,,95.05558539996855,None,95.55699719995027,None,left,1.034122200042475,95.73989509994863,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r1.png,1,-0.15,-0.01875,,,,,0,7,7,26,,,,,,,,,96.80931729997974,None,97.30840449995594,None,right,0.7052174999844283,97.5084169000038,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r1.png,1,0.3,0.0375,,,,,0,8,8,29,,,,,,,,,98.2522909999825,None,98.74324079998769,101.24382429994876,left,2.5674191000289284,98.94291789998533,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l4.png,-4,0.0,0.0,,,,,0,9,9,7,,,,,,,,,101.54788559995359,None,102.04668319999473,None,left,0.9271757999667898,102.24642989999847,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l1.png,-1,0.0,0.0,,,,,0,10,10,17,,,,,,,,,103.21257149998564,None,103.69839849998243,None,left,0.7320936000323854,103.89815789996646,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r2.png,2,-0.15,-0.01875,,,,,0,11,11,31,,,,,,,,,104.66195019998122,None,105.14976199995726,None,right,0.8487348000053316,105.3492944999598,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l1.png,-1,0.3,0.0375,,,,,0,12,12,19,,,,,,,,,106.23328200000105,None,106.71801640000194,None,left,2.0642609000205994,106.91777629998978,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r8.png,8,0.15,0.01875,,,,,0,13,13,43,,,,,,,,,109.02040079998551,None,109.52077849995112,None,right,0.9092060999828391,109.72042399999918,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l8.png,-8,-0.15,-0.01875,,,,,0,14,14,1,,,,,,,,,110.67143109999597,None,111.15573179995408,None,left,0.8581650000414811,111.3554508999805,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
